timeframe,mean1,mean2,mean3,std1,std2,std3,SAD1,SAD2,SAD3,SAD1p,SAD2p,SAD3p
0,42.00874666666668,21.624326666666683,0,43.02678144726905,0.1539577826651163,0.0,3057.4870000000024,314.81599999999986,0,1528.7229999999997,157.36800000000008,0
1,63.66179222222236,21.550767777777764,0,14.100890593847266,0.17220681898377652,0.0,397.36399999999975,327.7859999999996,0,198.64899999999957,163.94699999999978,0
2,564.5041233333337,49.618907777777764,0,828.1759518372548,59.12307310738436,0.0,16296.697000000002,3076.4660000000003,0,8142.614000000003,1536.459000000001,0
3,388.10380111111084,192.16100777777808,0,295.40644358110865,1.1499319160314871,0.0,7970.773999999999,1012.7169999999999,0,3990.392000000004,508.03400000000096,0
4,309.6368677777777,192.2139866666667,0,285.84005296870794,1.1538277679860782,0.0,7490.800000000001,1046.145000000001,0,3746.0580000000036,523.0200000000004,0
5,290.81423222222224,200.25104888888893,0,63.30277119719266,5.071302159915425,0.0,10754.602000000004,1102.2130000000016,0,5376.5970000000025,550.867000000001,0
6,265.8768866666663,204.4067977777778,0,51.54393070179859,3.3083134130104423,0.0,3443.1870000000035,1674.9910000000004,0,1721.6999999999998,835.7730000000012,0
7,244.11571333333342,214.3616855555554,0,42.35196869442677,2.0730851620233515,0.0,6506.208000000014,1664.4879999999994,0,3252.112999999994,834.3380000000005,0
8,239.13431333333307,213.46527333333324,0,47.38606297796135,3.681194250038822,0.0,6322.595999999996,1280.412,0,3162.502000000001,640.0270000000005,0
9,304.5910788888888,207.72168222222214,0,44.295013019222274,12.027627204495388,0.0,5916.429999999991,1904.144000000002,0,2958.6459999999956,952.0770000000032,0
10,237.84603888888876,230.85395000000017,0,23.207301875103436,0.7550703071891337,0.0,3451.0619999999967,562.0750000000019,0,1725.1000000000004,281.05600000000123,0
11,223.49820444444475,230.65547666666677,0,45.354323298694645,0.5554627814429947,0.0,8393.248000000001,473.24200000000104,0,4196.698000000002,236.80000000000032,0
12,311.131528888889,230.63552222222214,0,51.59313649253265,0.4887844978912855,0.0,9419.990000000007,492.2539999999983,0,4709.759000000002,245.9669999999993,0
13,223.0994066666665,230.62251111111112,0,46.119052449744096,0.4197760710435904,0.0,7085.829000000001,444.08099999999996,0,3543.233999999998,222.04999999999978,0
14,250.64204555555557,230.03862666666694,0,4.068151056158086,0.5516499980163452,0.0,3429.3210000000004,436.36300000000074,0,1714.679,218.2380000000002,0
15,154.0369522222221,231.8585300000002,0,65.46725914275876,4.6131930836842985,0.0,5035.12400000001,499.701999999999,0,2517.8769999999963,249.82299999999972,0
16,185.7241666666667,230.3992722222224,0,133.88650889514653,0.63686389084938,0.0,8354.492000000017,443.3060000000006,0,4175.333999999999,221.78000000000037,0
17,177.7992822222223,210.29705222222236,0,226.7669768625339,59.8892382473066,0.0,3859.851000000004,965.2599999999999,0,1931.8400000000045,482.5969999999997,0
18,63.096367777777864,21.503532222222237,0,55.59980711499807,0.15969314312670366,0.0,4757.996000000002,334.6999999999996,0,2378.9930000000018,167.29799999999977,0
19,115.51734444444438,21.474601111111113,0,47.11254645213858,0.15870975810581878,0.0,564.8130000000001,330.1400000000006,0,282.46200000000033,164.91000000000014,0
